county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
Denton County, Texas,2019,4.9,7.2,30.6,15.5,17.5,2.7,21.5,56.5,27.9,15.7,23.3,16.2,83.8,366396.0,344169.0,1.3,10.0,11.2,0.2,3.8,77.4,35.5,(X),28.9,(X),43172,119046,90523,2662,115043,27122,22067,9895,0.9,3.05,2.51,6.1,3.8,7.3,18.9,18.7,15.1,36.2,144548,57079,329507,8.6,2.2,67.5,0.7,9.8,2.6,5.0,0.0,3.6,3.05
Ector County, Texas,2019,13.2,7.5,10.0,5.2,30.1,10.6,23.5,49.0,22.4,18.2,24.8,16.3,83.7,60397.0,62868.0,1.5,1.4,6.0,0.1,10.8,83.2,30.4,(X),24.5,(X),28582,84688,67205,N,85783,25095,18078,7405,1.3,3.31,2.76,5.1,10.3,10.7,17.0,16.5,10.5,35.0,15185,17447,59599,2.8,1.3,63.7,1.5,4.3,2.2,9.0,1.1,13.9,3.31
Ellis County, Texas,2019,7.4,8.4,17.7,8.4,27.8,4.7,25.7,60.1,25.8,12.8,22.1,7.7,92.3,73424.0,71258.0,2.7,1.1,11.6,0.1,3.6,85.0,36.2,(X),32.9,(X),32967,95244,78797,N,92434,28619,21731,10898,0.2,3.08,2.63,6.1,9.1,9.9,25.3,16.5,10.6,28.6,30128,17677,65933,1.2,2.2,78.6,1.2,3.7,1.5,2.7,0.1,8.8,3.08
El Paso County, Texas,2019,8.8,9.6,16.4,6.9,25.5,11.4,21.4,44.7,19.5,18.8,31.1,22.2,77.8,332849.0,319515.0,1.3,1.8,4.4,0.3,13.3,81.8,32.2,(X),23.8,(X),21940,62655,48903,2708,61704,23838,14858,7800,1.6,3.18,2.88,5.3,13.0,12.1,20.3,12.9,11.8,29.8,87628,75113,301465,4.8,3.6,66.4,1.7,5.4,4.6,6.9,0.0,6.6,3.18
Fort Bend County, Texas,2019,4.1,7.8,27.9,18.3,17.6,5.1,19.1,66.3,33.4,10.2,19.1,28.4,71.6,324349.0,305130.0,0.8,21.4,21.5,0.1,5.1,53.9,36.3,(X),35.8,(X),40938,126968,101293,4969,125549,31689,21635,12324,1.5,3.26,2.9,6.9,5.6,9.9,22.2,20.6,13.6,28.1,130878,65241,269377,3.3,2.1,84.7,0.1,5.0,0.8,1.3,0.1,2.7,3.26
Galveston County, Texas,2019,5.4,9.1,19.8,10.8,26.3,4.0,24.5,51.5,21.3,16.3,25.4,11.1,88.9,140832.0,133747.0,1.2,4.1,13.8,0.2,2.5,81.3,37.7,(X),27.2,(X),36756,97586,74977,1870,98404,27660,19907,7765,1.9,2.74,2.46,5.6,8.4,8.8,21.8,16.2,13.7,31.0,49988,36060,150382,5.3,1.6,72.8,1.5,9.2,2.0,3.0,0.6,4.0,2.74
Grayson County, Texas,2019,5.5,10.3,14.5,7.3,31.1,4.8,26.6,48.8,20.1,16.8,28.4,6.9,93.1,56758.0,52423.0,2.5,1.9,7.2,0.1,2.1,89.8,39.9,(X),27.2,(X),28576,74491,57476,1439,75588,21240,20264,9161,2.3,2.84,2.51,5.5,10.7,11.5,22.5,13.3,13.2,28.7,17883,16043,57459,3.7,1.6,70.8,2.2,2.7,1.6,4.1,0.3,13.0,2.84
Gregg County, Texas,2019,8.6,10.3,15.0,7.1,27.9,4.7,26.4,46.5,18.7,18.4,25.5,9.7,90.3,50909.0,46852.0,1.0,1.8,21.6,0.1,1.2,77.2,35.6,(X),21.2,(X),28451,76229,53793,1897,77399,21409,19264,9417,2.0,2.78,2.33,5.5,9.0,12.3,19.2,14.8,9.6,35.1,13511,14347,52431,4.5,1.9,64.9,8.3,6.2,3.6,3.1,0.1,7.3,2.78
Guadalupe County, Texas,2019,7.9,10.7,19.5,9.8,29.3,3.2,19.6,59.0,25.2,14.5,20.1,7.0,93.0,67123.0,65405.0,1.2,2.7,9.3,0.5,13.6,76.2,37.0,(X),28.3,(X),32290,94096,79768,1207,87056,29663,18659,12452,1.9,2.89,3.11,5.8,8.9,10.4,21.0,19.3,12.6,27.8,26938,15943,61304,1.5,0.7,77.9,0.4,1.3,1.1,1.7,0.5,15.0,2.89
Harris County, Texas,2019,8.1,7.4,20.4,11.8,23.7,9.7,19.0,46.2,21.4,19.5,27.9,26.3,73.7,1861349.0,1809337.0,0.9,7.8,20.0,0.2,9.1,64.5,33.5,(X),29.7,(X),33330,92488,61618,2449,91855,28892,19568,9554,2.0,3.04,2.6,5.2,7.3,8.9,19.4,15.2,13.6,35.5,511216,367000,1818241,10.6,3.5,56.3,1.2,16.6,3.2,5.7,0.0,2.8,3.04
Harrison County, Texas,2019,9.7,7.3,13.2,6.5,31.7,4.7,26.9,50.1,15.6,18.2,28.8,3.9,96.1,26937.0,25459.0,1.0,1.0,21.7,0.0,1.9,76.5,38.7,(X),24.2,(X),30490,79498,58817,N,83661,22107,19799,12476,1.3,2.72,2.65,5.3,14.7,9.3,22.4,18.5,10.5,24.5,N,N,28988,2.4,0.4,59.9,6.3,0.4,2.7,2.0,0.0,25.9,2.72
Hays County, Texas,2019,6.3,6.7,24.7,11.8,25.6,3.1,21.8,52.1,22.9,16.8,22.9,8.6,91.4,94561.0,91565.0,1.1,2.3,5.0,0.1,3.4,90.7,32.0,(X),30.9,(X),33388,95570,72058,3919,92838,29122,19258,11167,2.6,3.09,2.48,5.3,5.8,5.9,19.2,15.2,17.6,36.3,34553,14833,84564,7.1,1.2,61.3,3.1,8.8,3.5,3.8,0.0,11.1,3.09
Henderson County, Texas,2019,14.0,7.7,10.8,5.0,35.0,4.4,23.2,48.9,14.8,15.6,26.2,4.6,95.4,35900.0,33244.0,1.5,0.8,7.3,0.1,1.1,90.8,43.9,(X),32.2,(X),27904,69813,51521,N,64764,34037,19331,10023,5.6,2.73,2.49,5.1,8.7,14.7,18.5,16.4,15.0,26.7,7858,13090,41914,1.5,1.0,62.7,0.7,2.7,2.2,2.3,0.6,26.3,2.73
Hidalgo County, Texas,2019,13.0,5.2,13.5,5.5,24.5,19.5,18.8,52.6,27.2,13.4,29.7,26.3,73.7,328570.0,308029.0,0.4,1.1,0.7,0.0,11.7,87.9,29.2,(X),24.5,(X),17542,58371,41800,1967,60217,19233,14729,7669,1.5,3.6,3.18,4.8,10.0,12.4,27.2,16.6,10.8,23.0,70790,97936,285996,2.0,1.7,65.7,4.0,1.9,5.4,3.6,0.4,15.4,3.6
Hunt County, Texas,2019,9.4,5.3,12.5,7.7,34.0,6.5,24.7,50.4,16.3,19.4,21.9,6.7,93.3,40562.0,38357.0,1.6,1.8,8.7,0.3,8.0,81.9,38.0,(X),31.3,(X),26293,70814,58063,N,73674,24369,19398,11258,0.2,2.69,2.84,5.2,9.3,10.9,19.2,14.3,16.4,30.0,12058,11491,38398,2.1,1.8,64.5,2.3,3.4,1.7,5.6,1.3,17.1,2.69
Jefferson County, Texas,2019,8.5,8.7,13.9,7.0,30.3,7.4,24.1,44.3,16.6,18.6,32.0,12.5,87.5,98216.0,102314.0,0.8,4.1,34.4,0.1,2.6,59.8,36.2,(X),21.3,(X),27915,73960,55797,1979,76026,24580,19011,7984,2.3,2.72,2.53,5.3,13.9,10.2,18.7,13.0,14.0,30.1,23294,30524,109138,4.8,2.1,69.4,2.2,3.9,3.3,10.3,0.2,3.8,2.72
Johnson County, Texas,2019,9.5,6.0,13.5,5.4,39.8,4.8,21.0,56.1,23.9,16.1,23.4,5.1,94.9,69387.0,68943.0,1.3,1.3,4.1,0.5,2.3,92.5,36.8,(X),30.9,(X),28334,81926,66319,1654,82892,21467,20226,13047,1.0,2.97,2.82,5.3,9.2,10.7,19.6,15.8,12.7,32.1,24186,18453,63680,1.4,0.8,69.3,1.6,2.3,2.5,3.1,0.2,18.8,2.97
Kaufman County, Texas,2019,10.1,8.5,14.0,5.0,31.5,4.6,26.4,60.3,27.9,14.6,20.9,8.5,91.5,52945.0,51718.0,1.3,1.5,12.7,0.2,3.3,83.7,35.5,(X),39.4,(X),28680,90256,75775,2322,86911,25307,18881,8093,1.7,3.42,3.25,5.9,7.5,7.3,20.1,18.9,13.4,32.8,20323,11518,43485,1.2,0.1,78.5,0.5,2.4,1.4,1.6,0.3,14.0,3.42
Liberty County, Texas,2019,11.4,6.2,8.4,3.9,36.4,8.8,24.8,49.9,19.8,20.9,25.0,9.4,90.6,35489.0,32406.0,1.0,0.8,10.3,0.0,7.5,81.5,35.5,(X),39.5,(X),23096,68005,50049,N,74273,19837,18103,6624,0.9,3.08,2.52,5.5,9.8,13.2,27.9,13.7,11.0,24.4,N,N,32722,0.9,0.2,62.7,2.0,2.8,1.0,2.1,1.7,26.6,3.08
Lubbock County, Texas,2019,6.7,5.3,19.4,12.6,25.3,6.6,24.0,43.3,18.1,19.5,29.8,6.2,93.8,127161.0,121976.0,1.8,2.9,8.3,0.2,5.4,84.5,30.8,(X),16.3,(X),28774,75106,55003,1686,70844,28782,18345,9645,0.2,2.6,2.46,5.3,8.8,7.2,18.1,15.1,13.7,37.1,35843,30485,130778,6.5,3.2,66.7,3.0,7.8,4.3,3.4,0.1,4.8,2.6
McLennan County, Texas,2019,8.2,12.1,16.4,9.4,26.4,5.0,22.5,45.9,17.8,16.3,32.2,7.9,92.1,106237.0,98116.0,1.2,2.1,15.5,0.2,3.0,80.4,33.3,(X),19.0,(X),25654,69956,50845,4078,69921,29162,18098,9557,0.9,2.73,2.54,5.4,13.2,10.3,16.6,16.1,11.2,32.5,28696,28307,103174,5.3,2.8,68.6,3.5,6.5,4.0,3.4,0.3,5.6,2.73
Midland County, Texas,2019,7.7,7.1,19.9,9.4,22.9,6.5,26.5,49.6,25.8,20.7,25.1,14.6,85.4,66370.0,66379.0,1.3,2.7,7.3,0.2,6.8,84.4,31.7,(X),20.5,(X),37197,107722,82558,N,107057,25759,20511,8699,0.5,3.1,2.61,5.4,8.3,9.0,19.9,13.7,12.5,36.6,24670,16811,63193,3.7,2.4,66.3,1.3,6.6,2.2,7.3,0.3,9.7,3.1
Montgomery County, Texas,2019,6.8,6.7,23.0,10.9,23.2,5.0,24.4,60.9,26.6,13.2,19.2,13.9,86.1,243016.0,232346.0,1.3,3.7,5.8,0.2,3.0,88.8,37.1,(X),31.4,(X),42247,120306,88695,3960,119434,35097,22762,10602,1.3,3.0,2.6,6.1,4.6,8.0,21.0,19.2,13.6,33.5,95129,54685,229708,6.5,1.9,67.9,1.4,5.7,1.2,2.9,0.2,12.5,3.0
Nacogdoches County, Texas,2019,7.5,4.9,14.6,9.0,31.2,7.7,25.1,42.0,16.1,24.2,28.4,7.8,92.2,27024.0,25625.0,1.5,1.8,18.9,0.1,1.3,78.4,30.9,(X),19.0,(X),24475,62423,47572,2119,60586,18647,18829,10050,0.0,2.55,2.25,4.8,11.6,7.7,25.4,13.9,7.0,34.4,5368,8592,28612,5.1,1.5,61.2,1.1,5.9,5.9,2.7,0.0,16.7,2.55
Nueces County, Texas,2019,8.8,8.1,14.8,8.8,31.1,6.7,21.6,44.5,15.8,21.0,29.9,9.5,90.5,148005.0,141520.0,0.9,2.6,4.1,0.2,2.5,91.5,35.5,(X),20.7,(X),27306,73358,56789,2334,73242,27713,17635,9429,0.5,2.83,2.5,4.9,14.2,10.0,17.3,13.6,12.6,32.4,40957,38031,150830,4.5,1.1,66.5,3.2,7.5,5.9,8.5,0.0,2.8,2.83
Orange County, Texas,2019,8.3,12.9,16.1,2.7,31.1,4.3,24.6,57.0,22.1,14.6,22.8,2.0,98.0,33878.0,32830.0,1.2,1.5,9.3,0.1,0.8,88.9,37.9,(X),25.9,(X),33006,86537,69052,N,88672,24083,19516,8161,0.3,2.51,2.79,5.7,14.2,10.8,19.9,14.0,7.5,33.7,10942,12604,38326,2.9,0.6,66.2,1.1,2.7,2.3,3.9,1.5,18.9,2.51
Parker County, Texas,2019,8.1,13.5,16.6,8.4,27.6,4.1,21.7,65.8,23.7,15.0,16.0,5.7,94.3,57878.0,56149.0,2.1,1.0,2.0,0.1,2.0,95.4,39.7,(X),32.9,(X),33196,100470,83262,N,100327,33480,20937,8214,0.4,3.28,3.06,6.1,9.8,12.9,24.1,16.6,11.7,24.9,20471,16127,51540,2.1,1.9,75.5,1.6,0.4,2.0,1.7,0.5,14.3,3.28
Potter County, Texas,2019,13.1,8.8,9.0,4.4,31.5,9.9,23.4,37.4,15.7,24.9,31.8,14.2,85.8,44143.0,46431.0,1.5,6.0,11.5,0.3,3.1,80.7,33.9,(X),19.6,(X),20226,53195,37297,2478,55335,20485,16523,12065,2.0,2.82,2.15,4.9,10.3,9.4,15.5,15.4,14.0,35.3,11794,11735,50444,4.4,2.0,66.4,4.8,7.7,2.5,3.5,0.1,8.8,2.82
Randall County, Texas,2019,3.6,8.8,23.5,11.7,24.8,3.0,24.6,53.5,20.6,17.1,26.2,5.6,94.4,56245.0,53682.0,1.8,2.4,3.8,0.6,3.2,91.8,35.9,(X),21.7,(X),34952,89410,70651,4084,88588,26851,20268,10325,3.2,2.76,2.5,5.7,10.2,9.4,20.6,16.1,12.7,30.9,21517,15259,55503,4.5,4.9,71.5,2.0,6.9,1.4,3.6,0.1,5.1,2.76
Rockwall County, Texas,2019,2.5,11.9,23.6,16.5,17.7,3.3,24.5,64.5,33.7,11.5,19.4,9.1,90.9,42273.0,39759.0,1.1,3.9,7.2,0.1,3.1,87.9,37.5,(X),36.6,(X),46791,133824,103378,N,126587,31083,22023,11129,N,2.89,2.63,7.1,5.2,8.0,20.9,18.9,13.7,33.4,21317,9519,37228,1.2,2.7,86.9,0.2,3.6,0.7,2.8,0.0,1.9,2.89
San Patricio County, Texas,2019,7.9,6.2,11.2,4.0,36.3,10.4,24.0,47.4,19.8,21.4,24.3,3.4,96.6,25989.0,26041.0,0.8,1.3,2.9,0.2,2.8,94.5,35.5,(X),21.7,(X),27178,78550,57899,N,86877,21603,17047,8132,2.1,3.11,2.8,5.1,12.4,10.1,19.5,16.9,15.8,25.3,6906,7773,28847,1.1,0.9,73.8,3.9,3.8,6.2,0.5,0.1,9.8,3.11
Smith County, Texas,2019,6.7,9.7,18.4,9.0,23.8,6.1,26.4,50.6,22.5,16.1,30.0,8.4,91.6,97919.0,87496.0,0.9,1.9,18.5,0.1,2.1,78.4,36.6,(X),25.9,(X),29053,79183,59584,6502,80919,24489,20742,11461,0.5,3.06,2.53,5.5,9.5,8.8,20.5,16.7,14.4,30.1,28527,23988,91844,4.4,2.1,69.8,2.2,4.5,1.5,3.3,0.4,11.6,3.06
Tarrant County, Texas,2019,6.8,7.6,23.1,11.0,24.4,5.9,21.1,50.2,21.6,16.8,27.2,16.3,83.7,851927.0,797109.0,1.3,6.3,18.0,0.3,7.8,69.8,34.4,(X),27.3,(X),34122,94469,70139,3215,94377,28616,19551,10351,0.9,3.07,2.54,5.5,7.4,9.2,20.3,15.5,13.7,33.9,273190,164250,791810,9.1,2.9,65.7,1.6,8.9,3.8,6.0,0.0,1.9,3.07
Taylor County, Texas,2019,5.3,8.4,17.4,9.4,31.1,3.4,25.1,48.4,19.6,16.1,28.9,6.1,93.9,56919.0,52505.0,1.3,2.8,8.9,0.1,10.5,79.0,32.5,(X),15.7,(X),27967,73223,55351,1271,71929,24078,20228,7804,1.9,2.73,2.45,5.2,9.4,9.2,17.9,13.6,12.5,37.4,14671,13643,57958,5.9,2.0,70.0,4.3,4.5,3.6,4.3,0.0,5.4,2.73
Tom Green County, Texas,2019,6.6,6.4,13.6,10.5,29.8,6.0,27.2,48.5,20.0,17.8,28.1,6.6,93.4,49496.0,46444.0,1.0,1.8,4.7,0.3,5.7,88.6,34.1,(X),20.3,(X),29142,76496,55988,1496,75999,23131,19345,9877,1.3,2.81,2.15,5.2,13.1,9.1,19.6,12.9,14.1,31.2,13558,15395,48910,2.7,4.7,70.5,0.9,7.3,3.6,2.7,0.0,7.6,2.81
Travis County, Texas,2019,4.2,5.7,32.6,20.0,15.8,5.9,15.7,43.4,20.0,22.5,26.0,18.3,81.7,520682.0,526509.0,1.6,8.1,9.6,0.2,8.8,75.6,34.2,(X),26.4,(X),46691,114226,80726,3862,111327,33148,20556,10106,0.7,2.67,2.22,4.9,5.0,7.1,15.9,15.8,13.2,43.1,176988,88512,545724,9.0,4.5,50.9,3.4,19.9,3.6,5.1,0.2,3.3,2.67
Victoria County, Texas,2019,8.3,11.3,12.0,7.1,31.7,6.8,22.8,49.9,15.1,17.3,27.8,5.4,94.6,37346.0,35726.0,0.9,1.6,7.2,0.3,3.2,89.5,35.9,(X),20.7,(X),27846,77910,57358,827,77722,25339,21155,12521,1.6,3.11,2.81,5.1,15.8,12.0,21.4,15.3,12.2,23.4,9177,11477,37284,5.1,1.1,65.2,2.4,3.9,4.9,6.1,1.2,10.2,3.11
Walker County, Texas,2019,7.0,7.1,13.1,6.3,40.1,6.4,19.9,46.5,N,24.0,25.2,8.6,91.4,25457.0,38267.0,0.7,1.7,23.9,0.0,0.8,74.4,35.3,(X),29.3,(X),20425,61332,47170,N,57854,33725,19788,7387,0.3,2.67,2.56,5.0,8.3,9.0,16.8,13.3,10.1,42.5,N,N,27058,6.8,1.0,50.1,1.3,4.6,5.9,7.3,0.0,23.0,2.67
Webb County, Texas,2019,15.7,8.1,15.0,5.2,19.8,18.3,17.9,54.0,27.0,13.3,24.8,24.4,75.6,104454.0,97818.0,0.3,0.6,0.5,0.1,2.7,96.4,28.8,(X),21.7,(X),20222,71396,56084,2096,69578,22284,14598,7679,1.3,3.78,3.28,5.1,10.6,11.8,22.9,17.3,10.2,27.2,25923,19803,85800,2.5,2.2,67.5,1.3,10.1,2.6,4.2,0.0,9.6,3.78
Wichita County, Texas,2019,8.5,7.7,13.2,9.1,34.9,3.5,23.2,45.3,18.1,20.7,28.5,5.4,94.6,51389.0,55557.0,1.9,3.2,12.0,0.3,4.5,82.0,34.5,(X),16.2,(X),26065,66883,51749,3926,63978,27554,16733,9950,1.6,2.59,2.27,5.3,12.3,9.8,19.3,18.0,12.3,28.3,14513,14855,56193,4.8,2.6,72.0,2.7,5.1,3.9,5.2,0.0,3.6,2.59
Williamson County, Texas,2019,3.3,8.4,28.4,13.3,21.1,3.1,22.5,57.6,26.6,15.0,23.3,13.4,86.6,239855.0,227068.0,1.3,8.3,8.1,0.3,3.2,83.5,36.3,(X),28.4,(X),38611,109561,92179,3583,106042,31223,22269,10739,1.1,3.22,2.7,5.9,2.7,8.0,20.7,17.0,13.9,37.7,93027,34097,205616,7.8,2.4,71.7,1.6,9.7,2.4,2.6,0.3,1.4,3.22
Wise County, Texas,2019,7.5,6.4,12.8,4.5,36.4,6.8,25.6,65.1,30.9,14.3,18.2,9.1,90.9,27337.0,28063.0,1.5,0.8,2.0,0.3,2.2,95.6,38.3,(X),32.0,(X),32139,93845,71421,582,93373,32843,21080,15177,0.7,3.05,2.91,5.6,10.7,10.2,23.3,15.3,18.2,22.2,10644,8237,25167,0.1,0.3,75.7,0.9,0.4,1.7,1.2,0.0,19.7,3.05
Cache County, Utah,2019,5.7,6.6,23.1,13.2,21.6,1.8,28.0,67.0,33.9,11.9,19.0,7.0,93.0,48654.0,47633.0,1.3,3.1,1.2,0.6,3.4,93.1,25.2,(X),17.7,(X),24408,76347,62507,N,71263,28476,22147,8917,1.8,3.42,2.59,6.2,10.3,9.3,16.4,11.9,13.2,38.9,16849,8603,43162,4.7,6.9,61.9,5.4,5.4,8.4,5.0,0.0,2.3,3.42
Davis County, Utah,2019,2.4,11.0,25.1,11.4,20.9,1.3,27.9,65.6,32.9,11.7,18.9,5.1,94.9,131459.0,130186.0,1.2,3.3,2.0,1.1,2.8,93.2,31.1,(X),23.6,(X),33148,104887,87427,2844,102828,30436,21903,11751,0.7,3.41,2.65,7.3,10.3,9.0,19.1,15.9,14.8,30.9,61449,21304,112486,2.3,5.7,75.9,1.7,5.1,4.8,2.3,0.0,2.2,3.41
Salt Lake County, Utah,2019,5.2,8.9,24.5,12.8,22.7,3.2,22.7,54.0,24.2,17.3,21.8,13.1,86.9,453211.0,450982.0,1.5,5.3,2.6,2.2,10.1,82.1,32.8,(X),22.9,(X),34907,101876,80119,3170,99545,27479,21116,9621,0.6,3.22,2.48,6.2,9.6,9.7,18.4,15.9,13.3,33.2,187023,71749,411484,5.8,7.7,61.2,2.4,13.1,3.5,4.0,0.0,2.3,3.22
Tooele County, Utah,2019,5.6,9.0,16.2,6.7,32.7,0.5,29.3,68.6,35.0,13.7,13.5,3.0,97.0,26387.0,26373.0,1.6,1.5,1.3,1.0,5.4,93.1,31.4,(X),31.1,(X),27027,87638,80973,N,88380,28598,18479,14733,0.0,3.45,2.97,6.4,6.9,9.4,21.0,20.4,12.6,29.7,N,N,23170,2.5,6.3,81.0,3.1,2.3,1.9,0.0,0.0,3.0,3.45
Utah County, Utah,2019,2.6,10.2,29.0,12.1,17.8,1.7,26.6,69.5,38.4,10.6,17.2,7.6,92.4,229675.0,231358.0,1.1,2.9,1.1,1.7,2.2,94.5,24.8,(X),22.1,(X),28589,99329,79545,2607,94878,27017,22323,9880,0.8,3.72,3.0,6.7,6.6,8.0,18.0,14.3,14.3,38.7,88416,32316,186547,6.9,8.8,65.8,3.1,5.3,5.3,3.6,0.0,1.1,3.72
Washington County, Utah,2019,4.6,13.5,16.8,10.5,21.9,1.7,31.0,62.7,24.0,11.9,20.3,6.0,94.0,71912.0,68495.0,2.2,1.4,1.0,1.4,3.9,92.3,37.1,(X),19.1,(X),32087,88888,63595,2718,88443,28880,23322,11482,1.3,2.78,2.79,5.5,2.9,7.6,20.1,21.4,15.6,32.5,27702,17814,74135,4.1,5.3,74.8,1.3,2.4,3.0,2.9,0.0,6.3,2.78
Weber County, Utah,2019,5.3,9.7,19.5,7.6,28.8,2.8,26.3,56.2,26.7,15.1,22.4,6.6,93.4,99903.0,100082.0,1.6,2.4,2.2,0.7,4.7,92.3,32.7,(X),24.2,(X),30780,87362,72206,2289,85959,27744,18269,11433,0.7,3.06,2.53,6.4,9.2,10.2,19.4,14.5,13.9,32.8,48148,18083,94290,3.0,5.3,71.4,2.6,5.1,6.2,2.6,0.0,3.7,3.06
Chittenden County, Vermont,2019,3.6,8.5,29.2,22.2,18.5,3.1,14.9,44.7,17.2,19.5,26.7,9.0,91.0,72378.0,68351.0,0.9,5.1,3.3,0.1,0.6,92.3,36.5,(X),22.7,(X),41136,98519,76806,3262,96468,27260,21520,10426,1.4,2.46,1.89,5.4,10.8,9.3,20.5,13.5,11.7,34.1,30312,12474,71283,4.6,8.3,49.0,6.2,11.6,7.8,8.0,0.0,4.5,2.46
Albemarle County, Virginia,2019,2.7,4.1,30.1,30.4,15.3,2.1,15.2,51.4,20.4,18.6,26.5,9.8,90.2,47665.0,44182.0,0.6,6.3,10.6,0.1,1.0,83.9,39.1,(X),23.2,(X),49352,120456,86399,N,116260,34848,22743,7629,0.1,2.51,2.0,6.5,7.3,12.4,23.8,16.5,10.4,29.5,17055,11807,47090,6.4,11.7,62.0,1.3,6.2,2.6,7.1,0.3,2.5,2.51
Arlington County, Virginia,2019,2.2,4.6,34.8,40.1,7.2,3.3,7.8,37.4,16.4,26.4,28.4,22.0,78.0,100501.0,98958.0,0.9,12.6,10.2,0.3,5.2,74.9,34.7,(X),29.7,(X),74537,158886,119755,2224,161402,50157,20195,8144,0.5,2.31,1.92,4.0,6.7,7.3,14.2,14.8,12.1,44.9,33581,13180,118883,6.0,9.3,24.9,0.5,49.3,4.1,5.9,0.0,0.0,2.31
Augusta County, Virginia,2019,8.5,7.0,13.8,5.5,40.3,4.0,20.9,57.3,16.3,13.8,22.3,3.4,96.6,31459.0,33732.0,0.7,1.0,5.3,0.1,0.5,94.2,45.1,(X),22.3,(X),30228,75789,62668,N,74300,21589,20624,9770,0.7,2.36,2.31,6.2,16.4,18.0,21.0,17.1,8.0,19.5,14574,9752,32847,3.2,2.7,82.9,0.0,0.8,0.5,1.5,0.0,8.4,2.36
Bedford County, Virginia,2019,6.6,7.2,19.2,12.5,25.6,3.9,25.1,57.5,16.7,13.0,23.4,2.3,97.7,33901.0,32112.0,0.7,1.6,7.8,0.1,0.6,91.4,46.3,(X),26.8,(X),36405,89999,69125,1942,87245,26129,20298,16140,1.2,2.52,2.43,6.1,16.5,16.8,24.0,14.7,8.8,19.2,14914,11550,37048,1.0,3.6,74.9,3.6,1.2,0.9,1.0,0.0,13.7,2.52
Chesterfield County, Virginia,2019,4.7,8.1,24.9,15.4,24.1,2.9,20.0,54.5,21.9,16.1,25.2,8.9,91.1,149451.0,135271.0,1.0,4.6,24.9,0.2,3.0,69.9,38.9,(X),26.6,(X),37810,101694,81297,1888,96618,31901,21420,9319,0.9,2.73,2.64,6.9,12.1,11.8,24.5,14.3,14.5,22.7,72750,26876,134283,5.9,4.1,79.4,0.6,3.2,2.4,3.0,0.0,1.4,2.73
Fairfax County, Virginia,2019,3.1,6.1,31.5,30.9,12.0,4.2,12.2,57.5,26.3,15.3,23.0,31.4,68.6,470307.0,456008.0,1.0,21.9,11.3,0.3,5.4,65.3,38.0,(X),32.4,(X),57492,160598,128374,3790,152213,53765,22497,9281,0.5,2.91,2.72,6.5,10.8,11.5,20.9,13.8,12.2,30.8,200411,69274,416073,10.4,22.8,46.3,0.4,13.3,1.5,4.7,0.1,0.6,2.91
Fauquier County, Virginia,2019,5.4,8.3,22.5,13.0,25.9,3.0,22.0,60.0,24.5,12.9,20.5,6.7,93.3,30060.0,27661.0,1.0,2.2,9.1,0.0,1.4,89.7,41.3,(X),41.3,(X),46149,132099,104809,N,121316,42320,22307,6834,0.9,3.02,2.56,7.2,14.4,13.2,22.3,17.6,10.1,22.4,N,N,27397,2.7,4.1,85.2,0.5,2.5,2.6,0.2,0.0,2.2,3.02
Frederick County, Virginia,2019,7.2,8.4,15.6,12.3,32.3,3.6,20.6,60.5,18.3,12.9,21.6,6.9,93.1,37090.0,35036.0,0.7,2.3,5.5,0.2,1.1,93.3,40.7,(X),35.1,(X),35457,97434,86229,4103,92905,27441,22246,13136,0.5,2.79,2.61,6.4,12.6,11.9,21.9,15.5,16.1,22.1,16996,7728,35452,3.2,10.9,72.0,0.4,4.2,0.5,2.0,0.1,6.8,2.79
Hanover County, Virginia,2019,4.7,7.7,24.7,15.6,26.1,1.5,19.7,62.1,22.2,10.6,22.7,3.6,96.4,46232.0,42500.0,0.8,2.4,10.4,0.3,0.7,87.8,42.7,(X),27.9,(X),41578,110344,89812,N,107911,29698,22370,8102,3.6,2.74,2.38,7.2,14.5,16.0,23.4,14.3,12.2,19.7,22609,10755,42272,2.8,5.2,86.3,0.5,1.3,0.4,1.7,0.0,1.9,2.74
